episode,reward,loss,epsilon
0,-946.5726928710938,0.01180285681039095,0.9900000095367432
1,-635.2958984375,0.004519127309322357,0.9800999760627747
2,-248.02835083007812,0.0030193885322660208,0.9702990055084229
3,-947.6964111328125,0.002654782962054014,0.9605960249900818
4,-514.8973999023438,0.003334402572363615,0.9509900212287903
5,-675.7113647460938,0.0033536169212311506,0.9414801597595215
6,-476.25,0.003159474115818739,0.9320653676986694
7,-777.2247924804688,0.003213080344721675,0.9227446913719177
8,-921.9319458007812,0.004288644064217806,0.9135172367095947
9,-424.75360107421875,0.004084647633135319,0.904382050037384
10,-523.7582397460938,0.006285876501351595,0.895338237285614
11,-871.4577026367188,0.005937324836850166,0.8863848447799683
12,-509.36676025390625,0.005659161135554314,0.8775210380554199
13,-883.6144409179688,0.005808039102703333,0.8687458038330078
14,-711.7706298828125,0.0055848704650998116,0.8600583672523499
15,-665.5221557617188,0.0053924513049423695,0.8514577746391296
16,-837.73095703125,0.005389040801674128,0.8429431915283203
17,-653.1928100585938,0.005298360716551542,0.834513783454895
18,-394.76031494140625,0.0065567526035010815,0.8261685967445374
19,-174.90773010253906,0.006440585944801569,0.81790691614151
20,-518.037109375,0.008171342313289642,0.8097278475761414
21,-788.4783325195312,0.008027290925383568,0.8016306161880493
22,-120.23247528076172,0.009538916870951653,0.7936142683029175
23,-717.153076171875,0.009004676714539528,0.7856781482696533
24,-600.6195678710938,0.008712816052138805,0.7778213620185852
25,-585.1768188476562,0.008567746728658676,0.770043134689331
26,-207.97576904296875,0.010124041698873043,0.7623426914215088
27,-738.2932739257812,0.01008493173867464,0.7547193169593811
28,-373.6000061035156,0.008390944451093674,0.7471721172332764
29,-551.893798828125,0.008530528284609318,0.7397003769874573
30,-107.60257720947266,0.008633301593363285,0.7323033809661865
31,-340.888671875,0.009318854659795761,0.724980354309082
32,-713.9922485351562,0.00903493445366621,0.7177305221557617
33,-673.5623779296875,0.00927017256617546,0.7105532288551331
34,-677.0680541992188,0.009018685668706894,0.703447699546814
35,-485.4654541015625,0.009220771491527557,0.6964132189750671
36,-117.29845428466797,0.008148973807692528,0.6894490718841553
37,-351.4886474609375,0.008330892771482468,0.6825546026229858
38,-395.1783447265625,0.00968978088349104,0.6757290363311768
39,-446.1273193359375,0.009939474053680897,0.6689717769622803
40,-154.61546325683594,0.009439310990273952,0.6622820496559143
41,-624.2860717773438,0.009285437874495983,0.6556591987609863
42,-560.9329833984375,0.009609907865524292,0.6491026282310486
43,-619.937744140625,0.009669939056038857,0.6426116228103638
44,-631.7427978515625,0.008262017741799355,0.6361854672431946
45,-624.4567260742188,0.008406966924667358,0.629823625087738
46,-358.143310546875,0.00846400111913681,0.6235253810882568
47,-520.1824951171875,0.00815591774880886,0.6172901391983032
48,-563.89306640625,0.008902463130652905,0.6111172437667847
49,-589.781982421875,0.008815154433250427,0.6050060391426086
50,-369.2113342285156,0.009066905826330185,0.5989559888839722
51,-345.2855529785156,0.008956941775977612,0.5929664373397827
52,-347.70465087890625,0.011112350039184093,0.5870367884635925
53,-574.1195678710938,0.011145330965518951,0.5811663866043091
54,-540.9412231445312,0.009874582290649414,0.5753547549247742
55,-284.1968994140625,0.009977467358112335,0.5696011781692505
56,-592.5546264648438,0.01015863660722971,0.5639051795005798
57,-298.111328125,0.010083744302392006,0.5582661628723145
58,-547.9876098632812,0.009485357441008091,0.5526834726333618
59,-260.9408874511719,0.009584504179656506,0.5471566319465637
60,-521.47216796875,0.009364926256239414,0.5416851043701172
61,-448.9092712402344,0.009350909851491451,0.5362682342529297
62,-542.671142578125,0.00857283640652895,0.530905544757843
63,-526.273681640625,0.00856921449303627,0.5255964994430542
64,-524.3257446289062,0.009879271499812603,0.5203405022621155
65,-505.9969177246094,0.009876317344605923,0.5151371359825134
66,-303.0216369628906,0.010189184918999672,0.5099857449531555
67,-495.4056701660156,0.010245106182992458,0.5048859119415283
68,-502.5133972167969,0.009243779815733433,0.4998370409011841
69,-156.99639892578125,0.009044177830219269,0.4948386549949646
70,-138.551025390625,0.008617465384304523,0.48989027738571167
71,-460.70721435546875,0.009101317264139652,0.4849913716316223
72,-361.7541198730469,0.010795065201818943,0.48014146089553833
73,-449.9097900390625,0.010614125058054924,0.4753400385379791
74,-443.1922607421875,0.009767952375113964,0.4705866277217865
75,-250.96649169921875,0.00960313156247139,0.46588078141212463
76,-460.5051574707031,0.009651406668126583,0.46122196316719055
77,-292.9474182128906,0.009696274064481258,0.4566097557544708
78,-428.8685607910156,0.010843802243471146,0.45204365253448486
79,-413.8052978515625,0.010694518685340881,0.44752320647239685
80,-279.69122314453125,0.00953400693833828,0.44304797053337097
81,-445.5180358886719,0.009757384657859802,0.4386174976825714
82,-412.7262878417969,0.011053926311433315,0.43423134088516235
83,-204.5015411376953,0.011416628956794739,0.4298890233039856
84,-285.3013000488281,0.00811067596077919,0.4255901277065277
85,-296.2190856933594,0.008338703773915768,0.42133423686027527
86,-104.95979309082031,0.007226143963634968,0.41712087392807007
87,-385.4345397949219,0.007242737803608179,0.41294968128204346
88,-392.21185302734375,0.008752326481044292,0.40882018208503723
89,-281.5536193847656,0.008569563739001751,0.40473195910453796
90,-73.3814468383789,0.009128916077315807,0.400684654712677
